Type,MCC,Description,Volume (Mn),Value (Cr)
High Transacting Categories,5411,Groceries and supermarkets,3032.59,64881.98
,5814,Fast food restaurants,1221.46,13794.22
,5812,Eating places and restaurants,1153.4,18212.77
,4814,"Telecommunication services, including local and long distance calls",871.88,21628.8
,5541,Service stations (with or without ancillary services),612.49,35188.88
,5816,Digital Goods: Games,351.24,10076.56
,5993,Cigar shops and stands,321.84,1900.46
,5462,Bakeries,261.93,3778.91
,5912,Drug stores and pharmacies,297.41,11824.93
,4900,"Utilities electric, gas, water and sanitary",174.72,23497.63
Medium Transacting Categories,5451,Dairies,178.32,4372.84
,7322,Debt collection agencies,161.36,93857.47
,5921,"Package shops beer, wine and liquor",145.64,5920.43
,5441,"Candy, nut and confectionery shops",107.37,1945.81
,5422,Freezer and locker meat provisioners,98.64,3140.46
,9399,Government services not elsewhere classified,109.96,11298.32
,5262,Online Marketplaces,122.01,8053.72
,5813,"Drinking places (alcoholic beverages) bars, taverns, night-clubs",86.44,3314.04
,5691,Mens and womens clothing shops,92.54,10874.31
,5412,Purchase of digital gold,95.72,1020.24
All Other Categories,5732,Electronics shops,92.13,10067.66
,7230,Beauty and barber shops,73.66,2061.03
,7622,Electronics repair shops,77.3,2202.87
,4112,Passenger railways,73.85,3657.91
,5137,"Mens, womens and childrens uniforms and commercial clothing",65.64,5968.52
,5311,Department stores,65.88,4095.4
,4121,Taxi-cabs and limousines,67.65,1186.07
,5331,Variety stores,60.23,3146.05
,5651,Family clothing shops,48.12,4225.63
,Others,,2266.67,348818.46
Total,,,12388.11,734012.36
