sr_no,psp_name,Total Volume (Mn),approved(%), BD %,TD %,Approved Transactions (Mn),failed Transactions (Mn),failure(%)
2,Yes Bank Ltd.,5894.24,9.09E-05,0.0898,0.0011,0.535845358,5893.704155,0.99990909
3,ICICI Bank Ltd.,3697.64,9.23E-05,0.0759,0.0012,0.341255196,3697.298745,0.99990771
4,HDFC Bank Ltd.,2038.72,9.42E-05,0.0576,0.0007,0.19200665,2038.527993,0.99990582
5,State Bank of India,1652.32,9.48E-05,0.0505,0.002,0.15655732,1652.163443,0.99990525
6,Tri O Tech Solutions Private Limited,124.54,0.0001,0,0,0.012454,124.527546,0.9999
7,BHIM,99.55,9.51E-05,0.0464,0.0026,0.009467205,99.54053279,0.9999049
8,Kotak Mahindra Bank,67.13,0.0001,0,0,0.006713,67.123287,0.9999
9,Airtel Payments Bank Limited,22.17,9.63E-05,0.0363,0.0008,0.002134749,22.16786525,0.99990371
10,North East Small Finance Bank Ltd,20.49,9.71E-05,0.0286,0.0008,0.001988759,20.48801124,0.99990294
11,IDFC Bank Ltd.,19.28,9.98E-05,0.0021,0,0.001923951,19.27807605,0.99990021
12,India Post Payments Bank Limited,18.16,0.0001,0,0,0.001816,18.158184,0.9999
13,RBL Bank Ltd.,17.25,9.78E-05,0.0209,0.0008,0.001687568,17.24831243,0.99990217
14,One Mobikwik Systems Limited,16.68,0.0001,0,0,0.001668,16.678332,0.9999
15,Federal Bank Ltd.,8.94,9.89E-05,0.011,0.0003,0.000883898,8.939116102,0.99990113
1,Yes Bank Ltd.,10547.67,9.12E-05,0.0866,0.0012,0.962158457,10546.70784,0.99990878
2,Axis Bank Ltd.,3700.44,9.41E-05,0.0574,0.0012,0.348359422,3700.091641,0.99990586
3,ICICI Bank Ltd.,1863.07,9.37E-05,0.0621,0.0014,0.174495136,1862.895505,0.99990634
4,HDFC Bank Ltd.,1434.68,9.40E-05,0.0593,0.0012,0.134788186,1434.545212,0.99990605
5,State Bank of India,1434.09,9.49E-05,0.0498,0.0013,0.1360808,1433.953919,0.99990511
6,Federal Bank Ltd.,294.38,9.69E-05,0.0302,0.0012,0.028513647,294.3514864,0.99990314
7,Airtel Payments Bank Limited,211.01,9.33E-05,0.0658,0.0012,0.019687233,210.9903128,0.9999067
8,Indusind Bank Ltd.,118.8,9.30E-05,0.0686,0.0012,0.011049588,118.7889504,0.99990699
9,Unity Small Finance Bank Limited,116.81,9.70E-05,0.029,0.0011,0.011329402,116.7986706,0.99990301
10,Canara Bank,96.68,9.69E-05,0.0297,0.0011,0.009370226,96.67062977,0.99990308
11,RBL Bank Ltd.,92.99,9.36E-05,0.0622,0.0015,0.008707584,92.98129242,0.99990636
12,Kotak Mahindra Bank,74.5,9.50E-05,0.0475,0.0025,0.007078245,74.49292176,0.99990499
13,Tri O Tech Solutions Private Limited,59.98,9.38E-05,0.0606,0.0012,0.005627324,59.97437268,0.99990618
14,One Mobikwik Systems Limited,55.68,9.66E-05,0.0333,0.001,0.005377574,55.67462243,0.99990342
15,NSDL Payments Bank Limited,43.15,9.20E-05,0.0789,0.0013,0.003968937,43.14603106,0.99990802
